K,Distância,RMSE_treino,RMSE_teste,R2_treino,R2_teste,gap_RMSE,status
1,Manhattan,0.0035777087639996667,0.33698189862364997,0.9999590154806868,0.6400531698670711,0.3334041898596503,overfitting forte
2,Manhattan,0.16540971857783934,0.2828542911111657,0.9123943892495325,0.7463991230611311,0.11744457253332638,overfitting leve
3,Manhattan,0.193797603471021,0.265717310103969,0.8797440203521933,0.776197516089681,0.07191970663294797,overfitting leve
4,Manhattan,0.20495601662307916,0.2594551743558027,0.8654972326541743,0.7866218820473717,0.05449915773272351,equilibrado
5,Manhattan,0.21031643302414568,0.26129379632895994,0.858369662128657,0.783586970250346,0.050977363304814255,equilibrado
7,Manhattan,0.21678302422430754,0.25597995776136495,0.849526363261193,0.7922996952682423,0.039196933537057416,equilibrado
10,Manhattan,0.22149327980776293,0.2502435453713041,0.8429163498622034,0.801504357946712,0.028750265563541183,equilibrado
15,Manhattan,0.2236329939879176,0.24725192550648953,0.8398667077896802,0.8062219539547468,0.023618931518571917,equilibrado
20,Manhattan,0.22535170428687673,0.24526401896731612,0.8373958707918775,0.8093253804574041,0.019912314680439386,equilibrado
30,Manhattan,0.2267772594174489,0.24187008955681596,0.8353321248951051,0.8145659266362659,0.015092830139367075,equilibrado
50,Manhattan,0.23010841388354308,0.24331052340579107,0.8304589478748019,0.8123506806171433,0.013202109522247985,equilibrado
100,Manhattan,0.2344366068684665,0.24378814688167252,0.8240210467494656,0.8116132387057549,0.009351540013206011,equilibrado
200,Manhattan,0.24363990668864163,0.24997919059393736,0.8099329976905386,0.8019235140537444,0.006339283905295728,equilibrado
500,Manhattan,0.27601231961925204,0.2816159710115887,0.7560691045487443,0.7486147630595078,0.0056036513923366504,equilibrado
800,Manhattan,0.31719769743176857,0.32115031816016465,0.6778412523584771,0.67307967590684,0.0039526207283960835,underfitting leve
